Code,Description,ReferenceManufactures,productcode,ProductGUID,bodega_origen,bodega_destino,periodos_consignacion,periodos_sin_asignar,cantidad_disponible,cantidad_negativa,cantidad_a_trasladar,cantidad_pendiente,estado
TAR-REG-002,TARJETAS DE NAVIDAD WINTER CHRISTMAS,PAPILU,127972,1b8d7305-27f8-4739-8180-c7bc34fb2135,CONSIG01 - Inventario en consignación,Sin asignar,202511,202512,5.0,2.0,2.0,0.0,completo
TARJARAMACAO,TARJETA PERSONAL ARAMACAO - 40,ESCRIBANA,79976,050138a0-6e97-429c-8bef-9c4f079995f4,CONSIG01 - Inventario en consignación,Sin asignar,202507,202507,1.0,1.0,1.0,0.0,completo
TARJBOSQUE,TARJETA PERSONAL BOSQUE - 40,ESCRIBANA,79979,7a113165-24af-4429-ba58-4d7d26248f92,CONSIG01 - Inventario en consignación,Sin asignar,202506,202506,1.0,1.0,1.0,0.0,completo
TARJPLAYAJAG,TARJETA PERSONAL PLAYA JAGUAR - 40,ESCRIBANA,79975,3688e5e2-74b9-46c0-9f33-eafa34fd761b,CONSIG01 - Inventario en consignación,Sin asignar,202506,202506,1.0,1.0,1.0,0.0,completo
TAZA2.5ONZASBIJAO,TAZA 2.5 ONZAS BIJAO,VERDE NEGRO,115075,07312684-6544-4426-8234-91ecb6f6e61a,CONSIG01 - Inventario en consignación,Sin asignar,202508,202512,2.0,2.0,2.0,0.0,completo
TAZA6ONZASBIJAO,TAZA 6 ONZAS BIJAO,VERDE NEGRO,115076,1f150525-811c-4696-abaf-a1f0644f2617,CONSIG01 - Inventario en consignación,Sin asignar,202508,202512,1.0,1.0,1.0,0.0,completo
TAZA6ONZASMARINO,TAZA 6 ONZAS MARINO,VERDE NEGRO,115077,4402c46c-1bb8-46ee-9711-0b3de5aac43a,CONSIG01 - Inventario en consignación,Sin asignar,202508,202512,1.0,1.0,1.0,0.0,completo
TAZAROMBOLAGO,TAZA ROMBO LAGO,VERDE NEGRO,115074,00f25e2e-5e66-4d87-bb2d-48f449b2d29b,CONSIG01 - Inventario en consignación,Sin asignar,202508,202512,1.0,1.0,1.0,0.0,completo
TAZAROMBONIEVE,TAZA ROMBO NIEVE,VERDE NEGRO,115073,742b3e98-6dfd-4987-93ee-1b45aecefb72,CONSIG01 - Inventario en consignación,Sin asignar,202508,202512,2.0,2.0,2.0,0.0,completo
TAZD,TAZA DESIERTO,VERDE NEGRO,76302,e9f8fce0-3f05-4240-b80d-0cfa5296e032,CONSIG01 - Inventario en consignación,Sin asignar,202501,202512,1.0,1.0,1.0,0.0,completo
TAZP,TAZA POMAROSA,VERDE NEGRO,76303,7de5af12-23da-4afb-a95d-b34ecc1bb1a3,CONSIG01 - Inventario en consignación,Sin asignar,202508,202602,1.0,1.0,1.0,0.0,completo
TCS11U,Top Capa Serena Negro,PI AND GAMA,150366,7bde512f-b5c7-4865-b88d-ac5dc49c758c,CONSIG01 - Inventario en consignación,Sin asignar,202602,202603,2.0,1.0,1.0,0.0,completo
TOALLABEBEBUBBLEPOP,TOALLA BEBE BUBBLE POP,PONCHO,114857,559d6712-6667-4168-a06f-343953bab134,CONSIG01 - Inventario en consignación,Sin asignar,202512,202512,2.0,2.0,2.0,0.0,completo
TOALLACRYSTALBAY,TOALLA KIDS Crystal Bay,Poncho,78061,d15cdd9c-790b-448e-8f35-4519d355d6ad,CONSIG01 - Inventario en consignación,Sin asignar,202504,202512,1.0,1.0,1.0,0.0,completo
TORTILLEROCANASTASICILIA,TORTILLERO CON CANASTA SICILIA,ABITA,126201,1d45e6b3-63d5-43f3-a024-958096d282dc,CONSIG01 - Inventario en consignación,Sin asignar,202509,202512,1.0,1.0,1.0,0.0,completo
TRIBEE,SET X 3 VELAS BEELA,ALEJANDRA ANDRADE,138967,323908bf-dd7b-4a6b-ae50-75fbdf104072,CONSIG01 - Inventario en consignación,Sin asignar,202512,202602,4.0,3.0,3.0,0.0,completo
V-arte-1.5,SET*3 VELA ARTESANAL LARGA DE 25*1.5 CM,ELSA URIBE,26824,0a1f4ccc-8ddc-47aa-9433-061696d04eca,CONSIG01 - Inventario en consignación,Sin asignar,202512,202512,1.0,1.0,1.0,0.0,completo
V001,Vela Copa Artesanal 280 g - Playa Bonita,HILALMA,29902,865d8817-eade-4506-8a92-1c4df52bd9cd,CONSIG01 - Inventario en consignación,Sin asignar,202603,202603,14.0,12.0,12.0,0.0,completo
V002,Vela Copa Artesanal 280 g - Palma Real,HILALMA,29901,05613d9d-ce1e-4238-a92c-990b5af0fcc6,CONSIG01 - Inventario en consignación,Sin asignar,202603,202603,15.0,12.0,12.0,0.0,completo
V004,Vela Copa Artesanal 280 gGranada,HILALMA,30053,7f5c47f9-7947-447e-9ce1-eaa703418241,CONSIG01 - Inventario en consignación,Sin asignar,202603,202603,14.0,6.0,6.0,0.0,completo
V0096,Vela Copa Artesanal 280 g - Alma de Oriente,HILALMA,103330,9718173f-1542-4c39-9df8-eed884fda2d0,CONSIG01 - Inventario en consignación,Sin asignar,202603,202603,8.0,5.0,5.0,0.0,completo
V0097,Vela Copa Artesanal 280 g - Ambar de Nuit,HILALMA,103331,b24a6d17-42e2-4ed4-b6b9-7281de953f77,CONSIG01 - Inventario en consignación,Sin asignar,202603,202602,14.0,11.0,11.0,0.0,completo
